test_id,node,test_category,test_description,test,result,failure_reason
1,B-LEAF1,NTP,Synchronised with NTP server,NTP,PASS,
2,B-LEAF2,NTP,Synchronised with NTP server,NTP,PASS,
3,B-LEAF3,NTP,Synchronised with NTP server,NTP,PASS,
4,B-LEAF4,NTP,Synchronised with NTP server,NTP,PASS,
5,B-LEAF5,NTP,Synchronised with NTP server,NTP,PASS,
6,B-LEAF6,NTP,Synchronised with NTP server,NTP,PASS,
7,B-LEAF7,NTP,Synchronised with NTP server,NTP,PASS,
8,B-LEAF8,NTP,Synchronised with NTP server,NTP,PASS,
9,B-SPINE1,NTP,Synchronised with NTP server,NTP,PASS,
10,B-SPINE2,NTP,Synchronised with NTP server,NTP,PASS,
11,B-SPINE3,NTP,Synchronised with NTP server,NTP,PASS,
12,B-SPINE4,NTP,Synchronised with NTP server,NTP,PASS,
13,B-SW1,NTP,Synchronised with NTP server,NTP,PASS,
14,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet1,PASS,
15,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet1,PASS,
16,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet1,PASS,
17,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet1,PASS,
18,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostG,PASS,
19,B-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostH,PASS,
20,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet2,PASS,
21,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet2,PASS,
22,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet2,PASS,
23,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet2,PASS,
24,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostG,PASS,
25,B-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostH,PASS,
26,B-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet3,PASS,
27,B-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet3,PASS,
28,B-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet3,PASS,
29,B-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet3,PASS,
30,B-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostI,PASS,
31,B-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostJ,PASS,
32,B-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet4,PASS,
33,B-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet4,PASS,
34,B-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet4,PASS,
35,B-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet4,PASS,
36,B-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - HostJ,PASS,
37,B-LEAF4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - HostK,PASS,
38,B-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet5,PASS,
39,B-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet5,PASS,
40,B-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet5,PASS,
41,B-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet5,PASS,
42,B-LEAF5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - B-SW1_Ethernet1,PASS,
43,B-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet6,PASS,
44,B-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet6,PASS,
45,B-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet6,PASS,
46,B-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet6,PASS,
47,B-LEAF6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - B-SW1_Ethernet2,PASS,
48,B-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet7,PASS,
49,B-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet7,PASS,
50,B-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet7,PASS,
51,B-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet7,PASS,
52,B-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BB1_Ethernet3,PASS,
53,B-LEAF7,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_BB2_Ethernet3,PASS,
54,B-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-SPINE1_Ethernet8,PASS,
55,B-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-SPINE2_Ethernet8,PASS,
56,B-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-SPINE3_Ethernet8,PASS,
57,B-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-SPINE4_Ethernet8,PASS,
58,B-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BB1_Ethernet4,PASS,
59,B-LEAF8,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_BB2_Ethernet4,PASS,
60,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-LEAF1_Ethernet1,PASS,
61,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-LEAF2_Ethernet1,PASS,
62,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-LEAF3_Ethernet1,PASS,
63,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-LEAF4_Ethernet1,PASS,
64,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_B-LEAF5_Ethernet1,PASS,
65,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_B-LEAF6_Ethernet1,PASS,
66,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_B-LEAF7_Ethernet1,PASS,
67,B-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_B-LEAF8_Ethernet1,PASS,
68,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-LEAF1_Ethernet2,PASS,
69,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-LEAF2_Ethernet2,PASS,
70,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-LEAF3_Ethernet2,PASS,
71,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-LEAF4_Ethernet2,PASS,
72,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_B-LEAF5_Ethernet2,PASS,
73,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_B-LEAF6_Ethernet2,PASS,
74,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_B-LEAF7_Ethernet2,PASS,
75,B-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_B-LEAF8_Ethernet2,PASS,
76,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-LEAF1_Ethernet3,PASS,
77,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-LEAF2_Ethernet3,PASS,
78,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-LEAF3_Ethernet3,PASS,
79,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-LEAF4_Ethernet3,PASS,
80,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_B-LEAF5_Ethernet3,PASS,
81,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_B-LEAF6_Ethernet3,PASS,
82,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_B-LEAF7_Ethernet3,PASS,
83,B-SPINE3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_B-LEAF8_Ethernet3,PASS,
84,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_B-LEAF1_Ethernet4,PASS,
85,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_B-LEAF2_Ethernet4,PASS,
86,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_B-LEAF3_Ethernet4,PASS,
87,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_B-LEAF4_Ethernet4,PASS,
88,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_B-LEAF5_Ethernet4,PASS,
89,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_B-LEAF6_Ethernet4,PASS,
90,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_B-LEAF7_Ethernet4,PASS,
91,B-SPINE4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet8 - P2P_LINK_TO_B-LEAF8_Ethernet4,PASS,
92,B-SW1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - B-LEAF5_Ethernet7,PASS,
93,B-SW1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - B-LEAF6_Ethernet7,PASS,
94,B-SW1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - HostL,PASS,
95,B-SW1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - HostM,PASS,
96,B-LEAF1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - HostG,PASS,
97,B-LEAF1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostH,PASS,
98,B-LEAF2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - HostG,PASS,
99,B-LEAF2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostH,PASS,
100,B-LEAF3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostJ,PASS,
101,B-LEAF4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel8 - HostJ,PASS,
102,B-LEAF5,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - B-SW1_Po1,PASS,
103,B-LEAF6,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - B-SW1_Po1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
104,B-SW1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - B-LEAF5_Po7,PASS,
105,B-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Green,PASS,
106,B-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Purple,PASS,
107,B-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Green,PASS,
108,B-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Purple,PASS,
109,B-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan60 - Red,PASS,
110,B-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan70 - Brown,PASS,
111,B-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Blue,PASS,
112,B-LEAF4,Interface State,Vlan Interface & Line Protocol == "up",Vlan60 - Red,PASS,
113,B-LEAF4,Interface State,Vlan Interface & Line Protocol == "up",Vlan70 - Brown,PASS,
114,B-LEAF4,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Blue,PASS,
115,B-LEAF5,Interface State,Vlan Interface & Line Protocol == "up",Vlan80 - Black,PASS,
116,B-LEAF5,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Purple,PASS,
117,B-LEAF6,Interface State,Vlan Interface & Line Protocol == "up",Vlan80 - Black,PASS,
118,B-LEAF6,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Purple,PASS,
119,B-LEAF7,Interface State,Vlan Interface & Line Protocol == "up",Vlan60 - Red,PASS,
120,B-LEAF7,Interface State,Vlan Interface & Line Protocol == "up",Vlan70 - Brown,PASS,
121,B-LEAF7,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Blue,PASS,
122,B-LEAF7,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Green,PASS,
123,B-LEAF8,Interface State,Vlan Interface & Line Protocol == "up",Vlan60 - Red,PASS,
124,B-LEAF8,Interface State,Vlan Interface & Line Protocol == "up",Vlan70 - Brown,PASS,
125,B-LEAF8,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Blue,PASS,
126,B-LEAF8,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Green,PASS,
127,B-LEAF1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
128,B-LEAF2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
129,B-LEAF3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
130,B-LEAF4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
131,B-LEAF5,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
132,B-LEAF6,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
133,B-LEAF7,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
134,B-LEAF8,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
135,B-LEAF1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
136,B-LEAF1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
137,B-LEAF2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
138,B-LEAF2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
139,B-LEAF3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
140,B-LEAF3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
141,B-LEAF4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
142,B-LEAF4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
143,B-LEAF5,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
144,B-LEAF5,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
145,B-LEAF6,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
146,B-LEAF6,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
147,B-LEAF7,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
148,B-LEAF7,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
149,B-LEAF8,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
150,B-LEAF8,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
151,B-SPINE1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
152,B-SPINE2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
153,B-SPINE3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
154,B-SPINE4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
155,B-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: B-SPINE1_Ethernet1,PASS,
156,B-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: B-SPINE2_Ethernet1,PASS,
157,B-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: B-SPINE3_Ethernet1,PASS,
158,B-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: B-SPINE4_Ethernet1,PASS,
159,B-LEAF2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: B-SPINE1_Ethernet2,PASS,
160,B-LEAF2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: B-SPINE2_Ethernet2,PASS,
